
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      8,776 K
Secure System                  236 Services                   0     81,904 K
Registry                       268 Services                   0     59,700 K
smss.exe                       884 Services                   0      1,116 K
csrss.exe                     1252 Services                   0      5,224 K
wininit.exe                   1348 Services                   0      6,072 K
services.exe                  1420 Services                   0     14,348 K
LsaIso.exe                    1440 Services                   0      3,040 K
lsass.exe                     1456 Services                   0     29,500 K
svchost.exe                   1640 Services                   0     28,904 K
fontdrvhost.exe               1676 Services                   0      4,528 K
svchost.exe                   1772 Services                   0     17,852 K
svchost.exe                   1828 Services                   0      8,880 K
svchost.exe                   1944 Services                   0      4,784 K
svchost.exe                   1040 Services                   0     15,204 K
svchost.exe                   1344 Services                   0      9,200 K
svchost.exe                   1340 Services                   0      9,760 K
svchost.exe                   1080 Services                   0      8,112 K
svchost.exe                   2108 Services                   0     13,472 K
svchost.exe                   2120 Services                   0      5,312 K
svchost.exe                   2164 Services                   0      7,228 K
svchost.exe                   2244 Services                   0     16,580 K
svchost.exe                   2316 Services                   0      6,144 K
svchost.exe                   2532 Services                   0     10,172 K
NVDisplay.Container.exe       2552 Services                   0     14,716 K
svchost.exe                   2664 Services                   0     16,908 K
svchost.exe                   2704 Services                   0      8,120 K
svchost.exe                   2724 Services                   0     20,888 K
svchost.exe                   2736 Services                   0     11,180 K
svchost.exe                   2744 Services                   0      5,384 K
svchost.exe                   2752 Services                   0      6,864 K
svchost.exe                   2856 Services                   0      6,064 K
Memory Compression            2912 Services                   0  2,215,980 K
svchost.exe                   2968 Services                   0      8,896 K
svchost.exe                   3004 Services                   0      7,232 K
svchost.exe                   3056 Services                   0      8,280 K
svchost.exe                   3064 Services                   0      7,576 K
svchost.exe                   3080 Services                   0     10,680 K
svchost.exe                   3160 Services                   0      6,264 K
svchost.exe                   3212 Services                   0     19,444 K
svchost.exe                   3336 Services                   0      7,192 K
svchost.exe                   3360 Services                   0     23,268 K
svchost.exe                   3564 Services                   0     14,888 K
WmiPrvSE.exe                  3592 Services                   0     12,512 K
svchost.exe                   3600 Services                   0      6,376 K
svchost.exe                   3724 Services                   0      9,652 K
svchost.exe                   3732 Services                   0      6,432 K
svchost.exe                   4072 Services                   0     18,060 K
svchost.exe                   3180 Services                   0     10,192 K
audiodg.exe                   3248 Services                   0     20,328 K
spoolsv.exe                   4164 Services                   0     12,180 K
svchost.exe                   4312 Services                   0      7,828 K
svchost.exe                   4452 Services                   0     16,640 K
svchost.exe                   4464 Services                   0      9,308 K
svchost.exe                   4472 Services                   0     36,264 K
svchost.exe                   4480 Services                   0     35,832 K
gameinputsvc.exe              4508 Services                   0      5,212 K
LightKeeperService.exe        4516 Services                   0     21,880 K
VoiceControl_Service.exe      4528 Services                   0     14,224 K
svchost.exe                   4536 Services                   0     16,960 K
MSI_Central_Service.exe       4548 Services                   0     15,076 K
WMIRegistrationService.ex     4556 Services                   0     13,864 K
svchost.exe                   4576 Services                   0      5,316 K
Mystic_Light_Service.exe      4596 Services                   0     15,436 K
MsMpEng.exe                   4604 Services                   0    282,932 K
MSI_Case_Service.exe          4616 Services                   0     19,344 K
RtkAudUService64.exe          4624 Services                   0     11,860 K
wlanext.exe                   4676 Services                   0      6,084 K
nvcontainer.exe               4692 Services                   0     39,732 K
jhi_service.exe               5072 Services                   0      5,844 K
gamingservices.exe            5080 Services                   0     37,828 K
gamingservicesnet.exe         5088 Services                   0      5,088 K
svchost.exe                   5244 Services                   0      7,688 K
svchost.exe                   5252 Services                   0     12,892 K
svchost.exe                   5260 Services                   0      8,888 K
svchost.exe                   5268 Services                   0     11,448 K
conhost.exe                   5304 Services                   0      5,168 K
WmiPrvSE.exe                  5924 Services                   0     37,992 K
svchost.exe                   5400 Services                   0      6,776 K
MSI.CentralServer.exe         6392 Services                   0     40,080 K
AggregatorHost.exe            6408 Services                   0      8,188 K
svchost.exe                   6448 Services                   0     16,252 K
svchost.exe                   6664 Services                   0      6,764 K
svchost.exe                   6932 Services                   0     18,564 K
